2018-03-24 12:20:31, Dayside Nadir, UVIS, 20180324_122148
2018-03-24 12:28:09, Dayside Nadir, UVIS, 20180324_122926
2018-03-24 13:05:38, Dayside Nadir, UVIS, 20180324_130655
2018-03-24 14:26:47, Dayside Nadir, UVIS, 20180324_142804
2018-03-24 15:04:16, Dayside Nadir, UVIS, 20180324_150533
2018-03-24 16:18:09, Dayside Nadir, UVIS, 20180324_161927
2018-03-24 16:25:27, Dayside Nadir, UVIS, 20180324_162645
2018-03-24 17:02:57, Dayside Nadir, UVIS, 20180324_170415
2018-03-24 18:24:08, Dayside Nadir, UVIS, 20180324_182526
2018-03-24 19:01:39, Dayside Nadir, UVIS, 20180324_190257
2018-03-24 20:15:55, Dayside Nadir, UVIS, 20180324_201714
2018-03-25 02:12:01, Dayside Nadir, UVIS, 20180325_021321
2018-03-25 02:18:25, Dayside Nadir, UVIS, 20180325_021945
2018-03-25 02:55:55, Dayside Nadir, UVIS, 20180325_025715
2018-03-25 04:10:43, Dayside Nadir, UVIS, 20180325_041203
2018-03-25 04:16:57, Dayside Nadir, UVIS, 20180325_041817
2018-03-25 04:54:26, Dayside Nadir, UVIS, 20180325_045546
2018-03-25 06:09:27, Dayside Nadir, UVIS, 20180325_061048
2018-03-25 06:15:31, Dayside Nadir, UVIS, 20180325_061652
2018-03-25 06:52:58, Dayside Nadir, UVIS, 20180325_065419
2018-03-25 08:08:10, Dayside Nadir, UVIS, 20180325_080932
2018-03-25 08:14:02, Dayside Nadir, UVIS, 20180325_081524
2018-03-25 08:51:31, Dayside Nadir, UVIS, 20180325_085253
2018-03-25 09:56:50, Dayside Nadir, LNO, NULL
2018-03-25 09:56:50, Dayside Nadir, UVIS, NULL
2018-03-25 12:05:28, Dayside Nadir, UVIS, 20180325_120651
2018-03-25 12:11:00, Dayside Nadir, UVIS, 20180325_121223
2018-03-25 12:48:28, Dayside Nadir, UVIS, 20180325_124951
2018-03-25 14:04:05, Dayside Nadir, UVIS, 20180325_140527
2018-03-25 14:09:28, Dayside Nadir, UVIS, 20180325_141050
2018-03-25 14:46:56, Dayside Nadir, UVIS, 20180325_144818
2018-03-25 18:01:27, Dayside Nadir, UVIS, 20180325_180250
2018-03-25 18:06:31, Dayside Nadir, UVIS, 20180325_180754
2018-03-25 18:44:00, Dayside Nadir, UVIS, 20180325_184523
2018-03-25 21:48:52, Dayside Nadir, LNO, NULL
2018-03-25 21:48:52, Dayside Nadir, UVIS, NULL
2018-03-26 02:00:30, Dayside Nadir, UVIS, 20180326_020155
2018-03-26 02:37:57, Dayside Nadir, UVIS, 20180326_023922
2018-03-26 03:59:01, Dayside Nadir, UVIS, 20180326_040027
2018-03-26 04:36:27, Dayside Nadir, UVIS, 20180326_043753
2018-03-26 05:57:34, Dayside Nadir, UVIS, 20180326_055900
2018-03-26 06:35:00, Dayside Nadir, UVIS, 20180326_063626
2018-03-26 09:40:51, Dayside Nadir, LNO, NULL
2018-03-26 09:40:51, Dayside Nadir, UVIS, NULL
2018-03-26 13:38:06, Dayside Nadir, LNO, NULL
2018-03-26 13:38:06, Dayside Nadir, UVIS, NULL
2018-03-26 17:35:24, Dayside Nadir, UVIS, 20180326_173653
2018-03-26 21:32:49, Dayside Nadir, UVIS, 20180326_213418
2018-03-27 01:30:03, Dayside Nadir, UVIS, 20180327_013133
2018-03-27 05:27:20, Dayside Nadir, UVIS, 20180327_052851
2018-03-27 09:24:44, Dayside Nadir, UVIS, 20180327_092616
2018-03-27 13:31:58, Dayside Nadir, UVIS, 20180327_133331
2018-03-27 14:11:03, Dayside Nadir, UVIS, 20180327_141236
2018-03-27 17:29:13, Dayside Nadir, UVIS, 20180327_173047
2018-03-27 18:08:04, Dayside Nadir, UVIS, 20180327_180938
2018-03-27 21:26:35, Dayside Nadir, UVIS, 20180327_212810
2018-03-27 22:05:08, Dayside Nadir, UVIS, 20180327_220643
2018-03-28 01:13:51, Dayside Nadir, UVIS, 20180328_011527
2018-03-28 05:21:04, Dayside Nadir, UVIS, 20180328_052240
2018-03-28 05:59:05, Dayside Nadir, UVIS, 20180328_060041
2018-03-28 09:08:27, Dayside Nadir, UVIS, 20180328_091005
2018-03-28 13:05:41, Dayside Nadir, UVIS, 20180328_130719
2018-03-28 17:12:53, Dayside Nadir, UVIS, 20180328_171433
2018-03-28 17:50:07, Dayside Nadir, UVIS, 20180328_175147
2018-03-29 02:08:20, Dayside Nadir, UVIS, 20180329_020958
2018-03-29 05:10:26, Dayside Nadir, UVIS, 20180329_051203
2018-03-29 05:48:06, Dayside Nadir, UVIS, 20180329_054943
2018-03-29 06:09:01, Dayside Nadir, UVIS, 20180329_061037
2018-03-29 09:11:27, Dayside Nadir, UVIS, 20180329_091301
2018-03-29 09:48:52, Dayside Nadir, UVIS, 20180329_095026
2018-03-29 10:09:47, Dayside Nadir, UVIS, 20180329_101120
2018-03-29 13:02:24, Dayside Nadir, UVIS, 20180329_130357
2018-03-29 17:03:15, Dayside Nadir, UVIS, 20180329_170445
2018-03-29 21:04:14, Dayside Nadir, UVIS, 20180329_210542
2018-03-30 01:05:11, Dayside Nadir, UVIS, 20180330_010636
2018-03-30 05:06:01, Dayside Nadir, UVIS, 20180330_050724
2018-03-30 09:07:01, Dayside Nadir, UVIS, 20180330_090822
2018-03-30 13:17:57, Dayside Nadir, UVIS, 20180330_131916
2018-03-30 13:53:47, Dayside Nadir, UVIS, 20180330_135506
2018-03-30 14:14:42, Dayside Nadir, UVIS, 20180330_141559
2018-03-30 17:18:47, Dayside Nadir, UVIS, 20180330_172003
2018-03-30 17:54:25, Dayside Nadir, UVIS, 20180330_175541
2018-03-30 18:15:22, Dayside Nadir, UVIS, 20180330_181637
2018-03-30 21:19:44, Dayside Nadir, UVIS, 20180330_212058
2018-03-30 21:55:12, Dayside Nadir, UVIS, 20180330_215626
2018-03-30 22:16:11, Dayside Nadir, UVIS, 20180330_221724
2018-03-31 01:10:41, Dayside Nadir, UVIS, 20180331_011152
